,title,artist,top genre,year,bpm,nrgy,dnce
1,Hey Soul Sister,Train,neo mellow,2010,97,89,67
2,Love The Way You Lie,Eminem,detroit hip hop,2010,87,93,75
3,TiK ToK,Kesha,dance pop,2010,120,84,76
4,Bad Romance,Lady Gaga,dance pop,2010,119,92,70
5,Just the Way You Are,Bruno Mars,pop,2010,109,84,64
6,Baby,Justin Bieber,canadian pop,2010,65,86,73
7,Dynamite,Taio Cruz,dance pop,2010,120,78,75
8,Secrets,OneRepublic,dance pop,2010,148,76,52
9,Empire State of Mind (Part II) Broken Down,Alicia Keys,hip pop,2010,93,37,48
10,Only Girl (In The World),Rihanna,barbadian pop,2010,126,72,79
11,Club Can't Handle Me (feat. David Guetta),Flo Rida,dance pop,2010,128,87,62
12,Marry You,Bruno Mars,pop,2010,145,83,62
13,Cooler Than Me - Single Mix,Mike Posner,dance pop,2010,130,82,77
14,Telephone,Lady Gaga,dance pop,2010,122,83,83
15,Like A G6,Far East Movement,dance pop,2010,125,84,44
16,OMG (feat. will.i.am),Usher,atl hip hop,2010,130,75,78
17,Eenie Meenie,Sean Kingston,dance pop,2010,121,61,72
18,The Time (Dirty Bit),The Black Eyed Peas,dance pop,2010,128,81,82
19,Alejandro,Lady Gaga,dance pop,2010,99,80,63
20,Your Love Is My Drug,Kesha,dance pop,2010,120,61,83
21,Meet Me Halfway,The Black Eyed Peas,dance pop,2010,130,63,80
22,Whataya Want from Me,Adam Lambert,australian pop,2010,186,68,44
23,Take It Off,Kesha,dance pop,2010,125,68,73
24,Misery,Maroon 5,pop,2010,103,81,70
25,All The Right Moves,OneRepublic,dance pop,2010,146,95,53
26,Animal,Neon Trees,indie pop,2010,148,83,48
27,Naturally,Selena Gomez & The Scene,dance pop,2010,133,90,61
28,I Like It,Enrique Iglesias,dance pop,2010,129,94,65
29,Teenage Dream,Katy Perry,dance pop,2010,120,80,72
30,California Gurls,Katy Perry,dance pop,2010,125,75,79
31,3,Britney Spears,dance pop,2010,135,71,70
32,My First Kiss - feat. Ke$ha,3OH!3,dance pop,2010,138,89,68
33,Blah Blah Blah (feat. 3OH!3),Kesha,dance pop,2010,120,84,75
34,Imma Be,The Black Eyed Peas,dance pop,2010,92,52,60
35,Try Sleeping with a Broken Heart,Alicia Keys,hip pop,2010,111,82,50
36,Sexy Bitch (feat. Akon),David Guetta,dance pop,2010,130,63,81
37,Bound To You - Burlesque Original Motion Picture Soundtrack,Christina Aguilera,dance pop,2010,164,41,29
38,If I Had You,Adam Lambert,australian pop,2010,131,91,65
39,Rock That Body,The Black Eyed Peas,dance pop,2010,125,91,72
40,Dog Days Are Over,Florence + The Machine,art pop,2010,150,81,50
41,Something's Got A Hold On Me - Burlesque Original Motion Picture Soundtrack,Christina Aguilera,dance pop,2010,150,85,51
42,Doesn't Mean Anything,Alicia Keys,hip pop,2010,104,41,71
43,Hard,Rihanna,barbadian pop,2010,182,75,31
44,Loca,Shakira,colombian pop,2010,112,87,80
45,You Lost Me,Christina Aguilera,dance pop,2010,43,39,23
46,Not Myself Tonight,Christina Aguilera,dance pop,2010,120,81,76
47,Written in the Stars (feat. Eric Turner),Tinie Tempah,dance pop,2010,91,95,64
48,DJ Got Us Fallin' In Love (feat. Pitbull),Usher,atl hip hop,2010,120,86,66
49,Castle Walls (feat. Christina Aguilera),T.I.,atl hip hop,2010,80,86,45
50,Break Your Heart,Taio Cruz,dance pop,2010,122,90,67
51,Hello,Martin Solveig,big room,2010,128,98,67
52,A Thousand Years,Christina Perri,dance pop,2011,139,41,42
53,Someone Like You,Adele,british soul,2011,135,33,56
54,Give Me Everything,Pitbull,dance pop,2011,129,94,67
55,Just the Way You Are,Bruno Mars,pop,2011,109,84,64
56,Rolling in the Deep,Adele,british soul,2011,105,76,73
57,Run the World (Girls),Beyonc�,dance pop,2011,127,90,73
58,Moves Like Jagger - Studio Recording From The Voice Performance,Maroon 5,pop,2011,128,76,72
59,Love On Top,Beyonc�,dance pop,2011,94,75,65
60,Grenade,Bruno Mars,pop,2011,110,56,71
61,Tonight Tonight,Hot Chelle Rae,dance pop,2011,100,78,69
62,What the Hell,Avril Lavigne,canadian pop,2011,150,93,58
63,Born This Way,Lady Gaga,dance pop,2011,124,83,59
64,Monster,Kanye West,chicago rap,2011,125,69,63
65,Marry You,Bruno Mars,pop,2011,145,83,62
66,Best Thing I Never Had,Beyonc�,dance pop,2011,99,65,55
67,Party Rock Anthem,LMFAO,dance pop,2011,130,74,75
68,We R Who We R,Kesha,dance pop,2011,120,82,74
69,Price Tag,Jessie J,australian pop,2011,175,83,64
70,Good Life,OneRepublic,dance pop,2011,95,69,63
71,Just Can�t Get Enough,The Black Eyed Peas,dance pop,2011,94,63,66
72,On The Floor,Jennifer Lopez,dance pop,2011,130,78,73
73,What's My Name?,Rihanna,barbadian pop,2011,100,79,69
74,Yeah 3x,Chris Brown,dance pop,2011,130,88,71
75,Without You (feat. Usher),David Guetta,dance pop,2011,128,61,61
76,Sexy And I Know It,LMFAO,dance pop,2011,130,86,71
77,The Edge Of Glory,Lady Gaga,dance pop,2011,128,77,58
78,E.T.,Katy Perry,dance pop,2011,152,87,62
79,Till the World Ends,Britney Spears,dance pop,2011,132,71,69
80,I Wanna Go,Britney Spears,dance pop,2011,130,55,70
81,Blow,Kesha,dance pop,2011,120,73,75
82,You And I,Lady Gaga,dance pop,2011,127,70,52
83,Judas,Lady Gaga,dance pop,2011,131,93,66
84,Tonight,Enrique Iglesias,dance pop,2011,126,89,65
85,Please Don't Go,Mike Posner,dance pop,2011,120,88,70
86,We Found Love,Rihanna,barbadian pop,2011,128,77,73
87,Marry The Night,Lady Gaga,dance pop,2011,131,88,61
88,1+1,Beyonc�,dance pop,2011,63,38,30
89,Hold It Against Me,Britney Spears,dance pop,2011,133,72,65
90,I'm Into You,Jennifer Lopez,dance pop,2011,84,75,59
91,Papi,Jennifer Lopez,dance pop,2011,120,81,71
92,Cheers (Drink To That),Rihanna,barbadian pop,2011,80,91,58
93,S&M Remix,Rihanna,barbadian pop,2011,128,81,82
94,Written in the Stars (feat. Eric Turner),Tinie Tempah,dance pop,2011,91,95,64
95,Jar of Hearts,Christina Perri,dance pop,2011,75,35,35
96,Castle Walls (feat. Christina Aguilera),T.I.,atl hip hop,2011,80,86,45
97,Turning Page,Sleeping At Last,acoustic pop,2011,125,38,30
98,Super Bass,Nicki Minaj,dance pop,2011,127,74,77
99,Raise Your Glass,P!nk,dance pop,2011,122,64,68
100,Invading My Mind,Jennifer Lopez,dance pop,2011,129,88,73
101,Moment 4 Life - Album Version (Edited),Nicki Minaj,dance pop,2011,130,88,50
102,Last Friday Night (T.G.I.F.),Katy Perry,dance pop,2011,126,81,65
103,Firework,Katy Perry,dance pop,2011,124,83,64
104,Muny - Album Version (Edited),Nicki Minaj,dance pop,2011,98,72,80
105,Titanium (feat. Sia),David Guetta,dance pop,2012,126,79,60
106,Locked Out of Heaven,Bruno Mars,pop,2012,144,70,73
107,Paradise,Coldplay,permanent wave,2012,140,59,45
108,Payphone,Maroon 5,pop,2012,110,75,74
109,What Makes You Beautiful,One Direction,boy band,2012,125,79,73
110,I Knew You Were Trouble.,Taylor Swift,pop,2012,77,47,62
111,Call Me Maybe,Carly Rae Jepsen,canadian pop,2012,120,58,78
112,Love You Like A Love Song,Selena Gomez & The Scene,dance pop,2012,117,68,86
113,Set Fire to the Rain,Adele,british soul,2012,108,68,61
114,We Are Never Ever Getting Back Together,Taylor Swift,pop,2012,86,68,63
115,Stronger (What Doesn't Kill You),Kelly Clarkson,dance pop,2012,116,94,56
116,Try,P!nk,dance pop,2012,104,63,67
117,Starships,Nicki Minaj,dance pop,2012,125,72,75
118,One More Night,Maroon 5,pop,2012,93,82,72
119,Good Time,Owl City,pop,2012,126,87,56
120,Glad You Came,The Wanted,boy band,2012,127,85,72
121,Beauty And A Beat,Justin Bieber,canadian pop,2012,128,84,60
122,International Love,Pitbull,dance pop,2012,120,86,67
123,Some Nights,fun.,baroque pop,2012,108,74,67
124,Boyfriend,Justin Bieber,canadian pop,2012,97,55,72
125,Part Of Me,Katy Perry,dance pop,2012,130,92,68
126,Domino,Jessie J,australian pop,2012,127,55,76
127,Where Have You Been,Rihanna,barbadian pop,2012,128,85,72
128,Wide Awake,Katy Perry,dance pop,2012,160,68,51
129,The One That Got Away,Katy Perry,dance pop,2012,134,80,69
130,Dance Again,Jennifer Lopez,dance pop,2012,128,86,79
131,Turn Up the Music,Chris Brown,dance pop,2012,130,84,59
132,Lights - Single Version,Ellie Goulding,dance pop,2012,120,80,68
133,We Are Young (feat. Janelle Monae),fun.,baroque pop,2012,184,64,38
134,Diamonds,Rihanna,barbadian pop,2012,92,71,56
135,Don't Stop the Party (feat. TJR),Pitbull,dance pop,2012,127,96,72
136,You Da One,Rihanna,barbadian pop,2012,127,72,70
137,Stereo Hearts (feat. Adam Levine),Gym Class Heroes,dance pop,2012,90,80,65
138,It Will Rain,Bruno Mars,pop,2012,150,84,58
139,Blow Me (One Last Kiss),P!nk,dance pop,2012,114,92,60
140,Underneath the Tree,Kelly Clarkson,dance pop,2013,160,81,51
141,Wake Me Up,Avicii,big room,2013,124,78,53
142,Story of My Life,One Direction,boy band,2013,121,66,60
143,Just Give Me a Reason (feat. Nate Ruess),P!nk,dance pop,2013,95,55,78
144,Hall of Fame,The Script,celtic rock,2013,85,87,42
145,Roar,Katy Perry,dance pop,2013,180,77,55
146,We Can't Stop,Miley Cyrus,dance pop,2013,80,62,61
147,Don't You Worry Child - Radio Edit,Swedish House Mafia,big room,2013,129,84,61
148,Get Lucky (feat. Pharrell Williams & Nile Rodgers) - Radio Edit,Daft Punk,electro,2013,116,81,79
149,Wrecking Ball,Miley Cyrus,dance pop,2013,120,42,53
150,Impossible,James Arthur,pop,2013,170,70,38
151,Blurred Lines,Robin Thicke,dance pop,2013,120,60,85
152,Heart Attack,Demi Lovato,dance pop,2013,174,79,50
153,We Are Never Ever Getting Back Together,Taylor Swift,pop,2013,86,68,63
154,Die Young,Kesha,dance pop,2013,128,70,71
155,Clarity,Zedd,complextro,2013,128,78,51
156,Summertime Sadness (Lana Del Rey Vs. Cedric Gervais) - Cedric Gervais Remix,Lana Del Rey,art pop,2013,126,81,57
157,Under Control,Calvin Harris,dance pop,2013,126,92,54
158,Everybody Talks,Neon Trees,indie pop,2013,155,92,47
159,Hold On We're Going Home,Drake,canadian hip hop,2013,100,41,77
160,Best Song Ever,One Direction,boy band,2013,118,88,65
161,Kiss You,One Direction,boy band,2013,90,93,63
162,Sweet Nothing (feat. Florence Welch),Calvin Harris,dance pop,2013,128,93,57
163,Lose Yourself to Dance,Daft Punk,electro,2013,100,66,83
164,Work Bitch,Britney Spears,dance pop,2013,128,82,63
165,Brave,Sara Bareilles,acoustic pop,2013,185,84,55
166,Can't Hold Us (feat. Ray Dalton),Macklemore & Ryan Lewis,dance pop,2013,146,93,63
167,Feel This Moment (feat. Christina Aguilera),Pitbull,dance pop,2013,136,76,67
168,Beneath Your Beautiful,Labrinth,pop,2013,84,52,56
169,Let Me Love You (Until You Learn To Love Yourself),Ne-Yo,dance pop,2013,125,68,66
170,Thrift Shop (feat. Wanz),Macklemore & Ryan Lewis,dance pop,2013,95,53,78
171,If I Lose Myself - Alesso vs OneRepublic,OneRepublic,dance pop,2013,126,75,52
172,The Way,Ariana Grande,dance pop,2013,82,88,65
173,Suit & Tie,Justin Timberlake,dance pop,2013,102,60,80
174,#thatPOWER,will.i.am,dance pop,2013,128,61,80
175,I Love It (feat. Charli XCX),Icona Pop,candy pop,2013,126,91,71
176,Play Hard (feat. Ne-Yo & Akon) - New Edit,David Guetta,dance pop,2013,130,87,72
177,Daylight,Maroon 5,pop,2013,120,67,66
178,Love Somebody,Maroon 5,pop,2013,120,78,68
179,A Little Party Never Killed Nobody (All We Got),Fergie,dance pop,2013,130,62,76
180,Move,Little Mix,dance pop,2013,121,74,85
181,Walks Like Rihanna,The Wanted,boy band,2013,126,82,56
182,Rock N Roll,Avril Lavigne,canadian pop,2013,184,96,47
183,Heartbreaker,Justin Bieber,canadian pop,2013,105,52,56
184,Mirrors - Radio Edit,Justin Timberlake,dance pop,2013,77,60,58
185,Next To Me,Emeli Sand�,dance pop,2013,95,80,67
186,Made In The USA,Demi Lovato,dance pop,2013,87,86,58
187,Clown,Emeli Sand�,dance pop,2013,130,23,45
188,Girl On Fire (feat. Nicki Minaj) - Inferno Version,Alicia Keys,hip pop,2013,93,81,55
189,TKO,Justin Timberlake,dance pop,2013,138,68,61
190,Come & Get It,Selena Gomez,dance pop,2013,80,79,55
191,Live It Up,Jennifer Lopez,dance pop,2013,128,73,69
192,We Own The Night,The Wanted,boy band,2013,104,94,55
193,Atlas - From The Hunger Games: Catching Fire Soundtrack,Coldplay,permanent wave,2013,136,45,28
194,What About Love,Austin Mahone,dance pop,2013,100,78,63
195,Take Back the Night,Justin Timberlake,dance pop,2013,107,66,59
196,Applause,Lady Gaga,dance pop,2013,140,78,67
197,Anything Could Happen,Ellie Goulding,dance pop,2013,103,78,70
198,Finally Found You,Enrique Iglesias,dance pop,2013,128,88,62
199,Pom Poms,Jonas Brothers,boy band,2013,148,98,68
200,#Beautiful,Mariah Carey,dance pop,2013,107,76,68
201,How Ya Doin'? (feat. Missy Elliott),Little Mix,dance pop,2013,201,95,36
202,Crazy Kids (feat. will.i.am),Kesha,dance pop,2013,128,75,72
203,"Ooh La La (from ""The Smurfs 2"")",Britney Spears,dance pop,2013,128,57,69
204,People Like Us,Kelly Clarkson,dance pop,2013,128,79,60
205,Overdose,Ciara,dance pop,2013,107,70,77
206,Right Now - Dyro Radio Edit,Rihanna,barbadian pop,2013,130,74,53
207,Give It 2 U,Robin Thicke,dance pop,2013,127,83,67
208,Foolish Games,Jewel,alaska indie,2013,132,34,51
209,Outta Nowhere (feat. Danny Mercer),Pitbull,dance pop,2013,95,84,71
210,Freak,Kelly Rowland,atl hip hop,2013,104,78,65
211,All of Me,John Legend,neo mellow,2014,120,26,42
212,Stay With Me,Sam Smith,pop,2014,84,42,42
213,Summer,Calvin Harris,dance pop,2014,128,86,60
214,"Happy - From ""Despicable Me 2""",Pharrell Williams,dance pop,2014,160,82,65
215,Rude,MAGIC!,pop,2014,144,76,77
216,Shake It Off,Taylor Swift,pop,2014,160,80,65
217,Dark Horse,Katy Perry,dance pop,2014,132,59,65
218,Hey Brother,Avicii,big room,2014,125,78,55
219,Maps,Maroon 5,pop,2014,120,71,74
220,Treasure,Bruno Mars,pop,2014,116,69,87
221,Let Her Go,Passenger,folk-pop,2014,75,54,51
222,Problem,Ariana Grande,dance pop,2014,103,81,66
223,Pompeii,Bastille,metropopolis,2014,127,72,68
224,Team,Lorde,art pop,2014,100,58,69
225,Love Me Again,John Newman,pop,2014,126,89,50
226,Latch,Disclosure,house,2014,122,73,50
227,Adore You,Miley Cyrus,dance pop,2014,120,66,58
228,Love Never Felt So Good,Michael Jackson,pop,2014,118,72,78
229,Burn,Ellie Goulding,dance pop,2014,87,78,56
230,She Looks So Perfect,5 Seconds of Summer,boy band,2014,160,95,49
231,Fancy,Iggy Azalea,australian hip hop,2014,95,72,91
232,Talk Dirty (feat. 2 Chainz),Jason Derulo,dance pop,2014,100,65,76
233,Gorilla,Bruno Mars,pop,2014,140,54,72
234,human,Christina Perri,dance pop,2014,144,49,44
235,Young Girls,Bruno Mars,pop,2014,126,75,56
236,Wiggle (feat. Snoop Dogg),Jason Derulo,dance pop,2014,82,62,70
237,Love Runs Out,OneRepublic,dance pop,2014,120,93,72
238,This Is How We Do,Katy Perry,dance pop,2014,96,64,69
239,Mmm Yeah (feat. Pitbull),Austin Mahone,dance pop,2014,126,92,71
240,A Little Party Never Killed Nobody (All We Got),Fergie,dance pop,2014,130,62,76
241,#SELFIE,The Chainsmokers,electropop,2014,128,92,79
242,Partition,Beyonc�,dance pop,2014,186,44,41
243,Birthday,Katy Perry,dance pop,2014,126,67,72
244,G.U.Y.,Lady Gaga,dance pop,2014,110,92,62
245,Stay The Night - Featuring Hayley Williams Of Paramore,Zedd,complextro,2014,128,74,60
246,"Let It Go - From ""Frozen / Single Version",Demi Lovato,dance pop,2014,140,66,50
247,Wings,Birdy,neo mellow,2014,83,71,47
248,Can't Remember to Forget You (feat. Rihanna),Shakira,colombian pop,2014,138,81,69
249,Shot Me Down (feat. Skylar Grey) - Radio Edit,David Guetta,dance pop,2014,192,77,35
250,Say Something,A Great Big World,neo mellow,2014,138,15,45
251,A Sky Full of Stars,Coldplay,permanent wave,2014,125,68,55
252,Come Get It Bae,Pharrell Williams,dance pop,2014,120,80,93
253,Chandelier,Sia,australian dance,2014,174,78,29
254,XO,Beyonc�,dance pop,2014,170,79,47
255,We Are One (Ole Ola) [The Official 2014 FIFA World Cup Song],Pitbull,dance pop,2014,125,94,60
256,Not About Angels,Birdy,neo mellow,2014,116,14,41
257,Drunk in Love,Beyonc�,dance pop,2014,140,62,59
258,Anaconda,Nicki Minaj,dance pop,2014,130,60,96
259,Boom Clap - From the Motion Picture Das Schicksal ist ein mieser Verr�ter,Charli XCX,candy pop,2014,92,81,68
260,La La La (Brasil 2014) (feat. Carlinhos Brown),Shakira,colombian pop,2014,128,82,80
261,Tee Shirt - Soundtrack Version,Birdy,neo mellow,2014,76,34,68
262,Words as Weapons,Birdy,neo mellow,2014,120,35,53
263,You're Mine (Eternal),Mariah Carey,dance pop,2014,149,58,63
264,Sheezus,Lily Allen,dance pop,2014,130,50,78
265,Cannonball,Lea Michele,hollywood,2014,92,82,56
266,It's On Again - Main Soundtrack,Alicia Keys,hip pop,2014,110,54,64
267,I Luh Ya Papi,Jennifer Lopez,dance pop,2014,96,73,74
268,Not a Bad Thing,Justin Timberlake,dance pop,2014,86,73,59
269,Thinking out Loud,Ed Sheeran,pop,2015,79,45,78
270,I'm Not The Only One,Sam Smith,pop,2015,82,49,68
271,The Hills,The Weeknd,canadian contemporary r&b,2015,113,56,58
272,Love Yourself,Justin Bieber,canadian pop,2015,100,38,61
273,Uptown Funk,Mark Ronson,dance pop,2015,115,61,86
274,Take Me To Church,Hozier,irish singer-songwriter,2015,129,66,57
275,Sugar,Maroon 5,pop,2015,120,79,75
276,Sorry,Justin Bieber,canadian pop,2015,100,76,65
277,FourFiveSeconds,Rihanna,barbadian pop,2015,206,27,58
278,"Love Me Like You Do - From ""Fifty Shades Of Grey""",Ellie Goulding,dance pop,2015,190,61,26
279,"Earned It (Fifty Shades Of Grey) - From The ""Fifty Shades Of Grey"" Soundtrack",The Weeknd,canadian contemporary r&b,2015,120,38,66
280,What Do You Mean?,Justin Bieber,canadian pop,2015,125,57,85
281,Stitches,Shawn Mendes,canadian pop,2015,150,75,75
282,Want to Want Me,Jason Derulo,dance pop,2015,114,68,78
283,My House,Flo Rida,dance pop,2015,94,70,69
284,Waves - Robin Schulz Radio Edit,Mr. Probz,tropical house,2015,120,51,83
285,Night Changes,One Direction,boy band,2015,120,52,67
286,How Deep Is Your Love,Calvin Harris,dance pop,2015,122,87,74
287,Never Forget You,Zara Larsson,dance pop,2015,146,73,58
288,Love Me Harder,Ariana Grande,dance pop,2015,99,71,47
289,Animals,Maroon 5,pop,2015,190,74,28
290,Blame,Calvin Harris,dance pop,2015,128,86,41
291,Worth It,Fifth Harmony,dance pop,2015,100,77,88
292,Break Free,Ariana Grande,dance pop,2015,130,70,69
293,Don't,Ed Sheeran,pop,2015,95,61,81
294,Elastic Heart,Sia,australian dance,2015,130,79,42
295,Rather Be (feat. Jess Glynne),Clean Bandit,dance pop,2015,121,59,80
296,Hello,Adele,british soul,2015,158,45,48
297,Dear Future Husband,Meghan Trainor,dance pop,2015,79,78,66
298,43776,Beyonc�,dance pop,2015,136,71,75
299,The Heart Wants What It Wants,Selena Gomez,dance pop,2015,83,79,62
300,"Hey Mama (feat. Nicki Minaj, Bebe Rexha & Afrojack)",David Guetta,dance pop,2015,86,73,60
301,Genie In a Bottle,Christina Aguilera,dance pop,2015,176,80,63
302,Company,Justin Bieber,canadian pop,2015,95,80,59
